date;budgetYear;description;amountUSD;srcOrganization;srcOrganizationTypes;srcLocations;srcUsageYearStart;srcUsageYearEnd;destPlan;destPlanCode;destPlanId;destOrganization;destOrganizationTypes;destGlobalClusters;destLocations;destProject;destProjectCode;destEmergency;destUsageYearStart;destUsageYearEnd;contributionType;flowType;method;boundary;onBoundary;status;firstReportedDate;decisionDate;keywords;originalAmount;originalCurrency;exchangeRate;id;refCode;createdAt;updatedAt;;
#date;#date+year+budget;#description+notes;#value+funding+total+usd;#org+name+funder;#org+type+funder+list;#country+iso3+funder+list;#date+year+start+funder;#date+year+end+funder;#activity+appeal+name;#activity+appeal+id+external;#activity+appeal+id+fts_internal;#org+name+impl;#org+type+impl+list;#sector+cluster+name+list;#country+iso3+impl+list;#activity+project+name;#activity+project+code;#crisis+name;#date+year+start+impl;#date+year+end+impl;#financial+contribution+type;#financial+contribution+type;#financial+method;#financial+direction;#financial+direction+type;#status+text;#date+reported;#date+decision;#description+keywords;#value+funding+total;#value+funding+total+currency;#financial+fx;#activity+id+fts_internal;#activity+code;#date+created;#date+updated;;
11/04/2024;2023;United States (USAID-BHA) Contribution to OCHA 2024;5000000;United States of America, Government of;Governments;USA;2024;2024;Sudan Humanitarian Response Plan 2024;HSDN24;1188;Office for the Coordination of Humanitarian Affairs;Multilateral Organizations;Coordination and support services;SDN;Strengthening Humanitarian Coordination and Common Services in Sudan;HSDN24-CSS-209392-1;Sudan Complex Emergency 2023;2024;2024;financial;Standard;Traditional aid;incoming;single;commitment;13/04/2024;11/10/2023;;;;;305510;OCT/USA/2024/75809/OCHA(OCHA)/SDN/82352 720BHA24IO00031;16/04/2024;16/04/2024;;
11/04/2024;2024;United States Contribution to Sudan Humanitarian Fund (SUHF) (SUHF) 2024;5000000;United States of America, Government of;Governments;USA;2024;2024;Sudan Humanitarian Response Plan 2024;HSDN24;1188;Sudan Humanitarian Fund;Pooled Funds;;SDN;;;Sudan Complex Emergency 2023;2024;2024;financial;Standard;Traditional aid;incoming;single;commitment;13/04/2024;11/04/2024;;;;;305513;OCT/USA/2023/75958/OCHA(CBPF-OCHA)/SDN/82355 720BHA24IO00040;16/04/2024;09/05/2024;;
09/04/2024;2024;Malta Contribution to Sudan Humanitarian Fund (SUHF) (SUHF) 2024;43290;Malta, Government of;Governments;MLT;2024;2024;Sudan Humanitarian Response Plan 2024;HSDN24;1188;Sudan Humanitarian Fund;Pooled Funds;;SDN;;;Sudan Complex Emergency 2023;2024;2024;financial;Standard;Traditional aid;incoming;single;commitment;12/04/2024;09/04/2024;;40000;EUR;0.924;305501;OCT/MLT/2024/76215/OCHA(CBPF-OCHA)/SDN/82803 ADM 2/5/10 NV-112/2024;12/04/2024;09/05/2024;;
07/04/2024;2024;Thematic Cross Sectoral - Sudan;Cross-Sectoral (two or more outcome areas);THM HUMANITAR 2022-2025;33960;UNICEF National Committee/Japan;Private Organizations;;2024;2024;Sudan Humanitarian Response Plan 2024;HSDN24;1188;United Nations Children's Fund;Multilateral Organizations;Health;SDN;Health Emergency Response with Provision of Quality Life-Saving Health Services to The Children and Mothers in Hot Spot Areas in Sudan 2024;HSDN24-HEA-209463-1;Sudan Complex Emergency 2023;2024;2024;financial;Pass through;Traditional aid;incoming;single;paid;07/04/2024;14/02/2024;;;;;305263;SM2299300272;07/04/2024;09/05/2024
04/04/2024;;OCHA Carry over from 2023 to 2024;690394;Office for the Coordination of Humanitarian Affairs;Multilateral Organizations;;2023;2023;Sudan Humanitarian Response Plan 2024;HSDN24;1188;Office for the Coordination of Humanitarian Affairs;Multilateral Organizations;Coordination and support services;SDN;Strengthening Humanitarian Coordination and Common Services in Sudan;HSDN24-CSS-209392-1;Sudan Complex Emergency 2023;2024;2024;financial;Carryover;Traditional aid;incoming;single;paid;05/04/2024;01/01/2024;allocation of unearmarked funds;;;;305219;2641:2024:OCT;05/04/2024;09/05/2024;;
26/03/2024;2024;Humanitarian activities in Sahel;539420;Norway, Government of;Governments;NOR;2024;2024;;;;Norwegian Red Cross;Red Cross/Red Crescent Organizations;Protection;BFA,CMR,DZA,ERI,ETH,MLI,MRT,NER,NGA,SDN,SEN,SSD;;;;2024;2024;financial;Standard;Traditional aid;incoming;shared;paid;25/04/2024;26/03/2024;;5818182;NOK;10.786;306987;QZA-20/0075-1;02/05/2024;02/05/2024;;
25/03/2024;2024;Iceland Contribution to Sudan Humanitarian Fund (SUHF) (SUHF) 2024;221713;Iceland, Government of;Governments;ISL;2024;2024;Sudan Humanitarian Response Plan 2024;HSDN24;1188;Sudan Humanitarian Fund;Pooled Funds;;SDN;;;Sudan Complex Emergency 2023;2024;2024;financial;Standard;Traditional aid;incoming;single;paid;19/03/2024;13/03/2024;;30000000;ISK;1.353.101;303161;OCT/ISL/2024/76170/OCHA(CBPF-OCHA)/SDN/82713 UTN24030135;27/03/2024;27/03/2024;;
25/03/2024;2024;Ireland Contribution to Sudan Humanitarian Fund (SUHF) (SUHF) 2024;5470460;Ireland, Government of;Governments;IRL;2024;2024;Sudan Humanitarian Response Plan 2024;HSDN24;1188;Sudan Humanitarian Fund;Pooled Funds;;SDN;;;Sudan Complex Emergency 2023;2024;2024;financial;Standard;Traditional aid;incoming;single;commitment;28/03/2024;25/03/2024;;5000000;EUR;0.914;304299;OCT/IRL/2024/76098/OCHA(CBPF-OCHA)/SDN/82738 HQHUM/2024/CBPFs;28/03/2024;09/05/2024;;
23/03/2024;2024;Cross-Sectoral (two or more outcome areas);125890;UNICEF National Committee/France;Private Organizations;;2024;2024;Sudan Humanitarian Response Plan 2024;HSDN24;1188;United Nations Children's Fund;Multilateral Organizations;Nutrition;SDN;;;Sudan Complex Emergency 2023;2024;2024;financial;Pass through;Traditional aid;incoming;single;paid;08/04/2024;23/03/2024;;114938;EUR;0.913;305390;SM2299300372;08/04/2024;08/04/2024;;
21/03/2024;2024;Strengthening the emergency preparedness and response capacity of national humanitarian assistance personnel in Africa through the establishment of a Regional Centre for International Humanitarian Assistance and Emergency Response Training (eCentre) in Africa;639000;Japan, Government of;Governments;JPN;2024;2024;;;;United Nations High Commissioner for Refugees;Multilateral Organizations;Coordination and support services;BFA,CAF,CMR,COD,COG,ETH,MLI,MOZ,NER,NGA,RWA,SDN,SOM,SSD,UGA;;;;2024;2024;financial;Standard;Traditional aid;incoming;shared;paid;09/04/2024;15/02/2024;;;;;307207;;03/05/2024;03/05/2024;;
21/03/2024;2024;Strengthening Emergency Health Response and Humanitarian Border Management in Sudan;896000;Japan, Government of;Governments;JPN;2024;2024;Sudan Humanitarian Response Plan 2024;HSDN24;1188;International Organization for Migration;Multilateral Organizations;Health;SDN;Enhancing Emergency Health Preparedness and Response Capacity for Vulnerable Populations in Sudan ;HSDN24-HEA-209211-1;Sudan Complex Emergency 2023;2024;2024;financial;Standard;Traditional aid;incoming;single;paid;09/04/2024;31/01/2024;;;;;307236;;03/05/2024;03/05/2024;;
19/03/2024;2024;United Kingdom Contribution to Sudan Humanitarian Fund (SUHF) (SUHF) 2024;12829706;United Kingdom, Government of;Governments;GBR;2024;2024;Sudan Humanitarian Response Plan 2024;HSDN24;1188;Sudan Humanitarian Fund;Pooled Funds;;SDN;;;Sudan Complex Emergency 2023;2024;2024;financial;Standard;Traditional aid;incoming;single;paid;12/03/2024;11/03/2024;;10020000;GBP;0.79;302685;OCT/GBR/2024/76166/OCHA(CBPF-OCHA)/SDN/82704 301450-104 amend 2;21/03/2024;21/03/2024;;
19/03/2024;2024;Sweden Contribution to Sudan Humanitarian Fund (SUHF) (SUHF) 2024;3862159;Sweden, Government of;Governments;SWE;2024;2024;Sudan Humanitarian Response Plan 2024;HSDN24;1188;Sudan Humanitarian Fund;Pooled Funds;;SDN;;;Sudan Complex Emergency 2023;2024;2024;financial;Standard;Traditional aid;incoming;single;paid;20/03/2024;11/03/2024;;40000000;SEK;10.349;303186;OCT/SWE/2024/76124/OCHA(CBPF-OCHA)/SDN/82638 Amendment 3;03/04/2024;09/05/2024;;
